Geneid,wt_CON,wt_DOX
ENSMUSG00000001119,132,1773
ENSMUSG00000001120,193,50
ENSMUSG00000001123,10816,5341
ENSMUSG00000001127,3253,3034
ENSMUSG00000001128,4890,14220
ENSMUSG00000001131,797,800
ENSMUSG00000001134,217,143
ENSMUSG00000001138,1355,1040
ENSMUSG00000001143,1807,1205
ENSMUSG00000001150,2828,2029
ENSMUSG00000001151,1829,968
ENSMUSG00000001155,0,0
ENSMUSG00000001156,1335,959
ENSMUSG00000001157,867,915
ENSMUSG00000001158,2006,1044
ENSMUSG00000001166,602,299
ENSMUSG00000001168,94,10
ENSMUSG00000001173,3319,1918
ENSMUSG00000001175,47705,27464
ENSMUSG00000001211,3476,2517
ENSMUSG00000001225,0,2
ENSMUSG00000001227,712,621
ENSMUSG00000001228,192,231
ENSMUSG00000001229,2767,2336
ENSMUSG00000001240,6,2
ENSMUSG00000001247,209,87
ENSMUSG00000001248,2254,2398
ENSMUSG00000001249,100,106
ENSMUSG00000001260,0,0
ENSMUSG00000001270,10158,6434
ENSMUSG00000001280,7420,5167
ENSMUSG00000001281,1490,1530
ENSMUSG00000001285,975,505
ENSMUSG00000001288,1056,808
ENSMUSG00000001289,10811,4096
ENSMUSG00000001300,20,108
ENSMUSG00000001305,592,459
ENSMUSG00000001313,467,493
ENSMUSG00000001323,706,398
ENSMUSG00000001333,0,11
ENSMUSG00000001334,0,0
ENSMUSG00000001348,14090,2511
ENSMUSG00000001349,10,62
ENSMUSG00000001366,694,805
ENSMUSG00000001376,3128,2609
ENSMUSG00000001380,2347,1622
ENSMUSG00000001383,4960,2894
ENSMUSG00000001403,20,169
ENSMUSG00000001415,2447,2037
ENSMUSG00000001416,6975,5350
ENSMUSG00000001418,11525,8702
ENSMUSG00000001419,5073,5981
ENSMUSG00000001420,9,3
ENSMUSG00000001424,6802,3189
ENSMUSG00000001435,10974,2664
ENSMUSG00000001436,412,367
ENSMUSG00000001440,9153,5968
ENSMUSG00000001441,6413,4806
ENSMUSG00000001444,0,0
ENSMUSG00000001445,608,427
ENSMUSG00000001467,3512,706
ENSMUSG00000001472,14099,8855
ENSMUSG00000001473,534,956
ENSMUSG00000001482,5788,1607
ENSMUSG00000001493,6,0
ENSMUSG00000001494,0,0
ENSMUSG00000001496,0,2
ENSMUSG00000001497,0,0
ENSMUSG00000001504,0,2
ENSMUSG00000001506,184,6612
ENSMUSG00000001507,4,18
ENSMUSG00000001508,0,0
ENSMUSG00000001510,0,4
